Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.8292088686383421,0.03790881025251369,0.7913000583858284,0.04773792911522825
2,0.8653134719129879,0.07401341352715951,0.7913000583858284,0.04773792911522825
3,0.8326061078675601,0.041306049481731666,0.7913000583858284,0.04773792911522825
4,0.8586237035916531,0.06732364520582468,0.7913000583858284,0.04773792911522825
5,0.7674804464756961,-0.023819611910132266,0.7913000583858284,0.04773792911522825
6,0.7384230413710204,-0.05287701701480796,0.7913000583858284,0.04773792911522825
7,0.7977385533231713,0.006438494937342942,0.7913000583858284,0.04773792911522825
8,0.7408386931029695,-0.05046136528285894,0.7913000583858284,0.04773792911522825
9,0.7759817188475436,-0.015318339538284764,0.7913000583858284,0.04773792911522825
10,0.7162012796078553,-0.07509877877797311,0.7913000583858284,0.04773792911522825
11,0.781884757505312,-0.009415300880516453,0.7913000583858284,0.04773792911522825
