Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.8292088686383421,0.025617326352339265,0.8035915422860028,0.07589922644735762
2,0.8432591601763689,0.0396676178903661,0.8035915422860028,0.07589922644735762
3,0.8871677926074208,0.08357625032141802,0.8035915422860028,0.07589922644735762
4,0.9171245680242706,0.11353302573826773,0.8035915422860028,0.07589922644735762
5,0.8413492718155097,0.037757729529506845,0.8035915422860028,0.07589922644735762
6,0.6661826801353798,-0.13740886215062298,0.8035915422860028,0.07589922644735762
7,0.8287602164858036,0.025168674199800734,0.8035915422860028,0.07589922644735762
8,0.7052634894641258,-0.09832805282187707,0.8035915422860028,0.07589922644735762
9,0.764573843464895,-0.03901769882110784,0.8035915422860028,0.07589922644735762
10,0.7156445033345296,-0.08794703895147327,0.8035915422860028,0.07589922644735762
11,0.8409725709993843,0.03738102871338145,0.8035915422860028,0.07589922644735762
