Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.8128241896629333,0.14235117489641358,0.6704730147665198,0.17029457985399463
2,0.8146750330924988,0.144202018325979,0.6704730147665198,0.17029457985399463
3,0.326612263917923,-0.3438607508485968,0.6704730147665198,0.17029457985399463
4,0.3362002968788147,-0.3342727178877051,0.6704730147665198,0.17029457985399463
5,0.6942508816719055,0.023777866905385747,0.6704730147665198,0.17029457985399463
6,0.8322523832321167,0.16177936846559693,0.6704730147665198,0.17029457985399463
7,0.6288552284240723,-0.041617786342447505,0.6704730147665198,0.17029457985399463
8,0.6891496777534485,0.018676662986928716,0.6704730147665198,0.17029457985399463
9,0.7763941287994385,0.1059211140329187,0.6704730147665198,0.17029457985399463
10,0.745378315448761,0.07490530068224122,0.6704730147665198,0.17029457985399463
11,0.7186107635498047,0.04813774878328492,0.6704730147665198,0.17029457985399463
