Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.9682785265408888,0.1624316871155378,0.805846839425351,0.07480600936348966
2,0.7484896887198401,-0.05735715070551084,0.805846839425351,0.07480600936348966
3,0.665625797649695,-0.14022104177565597,0.805846839425351,0.07480600936348966
4,0.8182700808023115,0.012423241376960492,0.805846839425351,0.07480600936348966
5,0.8106532839883128,0.004806444562961865,0.805846839425351,0.07480600936348966
6,0.9080372928136023,0.10219045338825139,0.805846839425351,0.07480600936348966
7,0.8385118145795983,0.03266497515424738,0.805846839425351,0.07480600936348966
8,0.7332087406900842,-0.07263809873526672,0.805846839425351,0.07480600936348966
9,0.7917389216952067,-0.014107917730144304,0.805846839425351,0.07480600936348966
10,0.7868845561121458,-0.018962283313205153,0.805846839425351,0.07480600936348966
11,0.7895044035142759,-0.016342435911075093,0.805846839425351,0.07480600936348966
12,0.8109589659982512,0.005112126572900277,0.805846839425351,0.07480600936348966
