Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.6867765412777864,-0.07765934475351544,0.7644358860313019,0.07924694843694051
2,0.6657410787948567,-0.09869480723644519,0.7644358860313019,0.07924694843694051
3,0.8414877922211589,0.07705190618985702,0.7644358860313019,0.07924694843694051
4,0.845600631249484,0.08116474521818218,0.7644358860313019,0.07924694843694051
5,0.6770745601362411,-0.08736132589506074,0.7644358860313019,0.07924694843694051
6,0.6472155560852966,-0.11722032994600529,0.7644358860313019,0.07924694843694051
7,0.8668569469496404,0.10242106091833858,0.7644358860313019,0.07924694843694051
8,0.8339583089388048,0.06952242290750299,0.7644358860313019,0.07924694843694051
9,0.7606995197807924,-0.0037363662505094375,0.7644358860313019,0.07924694843694051
10,0.755714644291668,-0.008721241739633845,0.7644358860313019,0.07924694843694051
11,0.8276691666185894,0.0632332805872875,0.7644358860313019,0.07924694843694051
