Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.8073319481207886,0.018651047608756022,0.7886809005120325,0.1387062534493182
2,0.4257999661331169,-0.36288093437891566,0.7886809005120325,0.1387062534493182
3,0.7386723454164308,-0.05000855509560176,0.7886809005120325,0.1387062534493182
4,0.8064809417053097,0.01780004119327716,0.7886809005120325,0.1387062534493182
5,0.9743542750773337,0.1856733745653012,0.7886809005120325,0.1387062534493182
6,0.869013710226916,0.08033280971488344,0.7886809005120325,0.1387062534493182
7,0.7882159813346424,-0.0004649191773901107,0.7886809005120325,0.1387062534493182
8,0.8516355873400838,0.06295468682805128,0.7886809005120325,0.1387062534493182
9,0.8884987003471657,0.09981779983513317,0.7886809005120325,0.1387062534493182
10,0.7368055494185389,-0.051875351093493616,0.7886809005120325,0.1387062534493182
