Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.8045828864869413,0.04058898956343138,0.7639938969235099,0.100596201221754
2,0.8689441099747072,0.10495021305119723,0.7639938969235099,0.100596201221754
3,0.5687461326686708,-0.19524776425483914,0.7639938969235099,0.100596201221754
4,0.8551440713010129,0.09115017437750295,0.7639938969235099,0.100596201221754
5,0.645366578705779,-0.11862731821773098,0.7639938969235099,0.100596201221754
6,0.6553089938232877,-0.10868490310022227,0.7639938969235099,0.100596201221754
7,0.636066181046599,-0.12792771587691099,0.7639938969235099,0.100596201221754
8,0.8300000476730971,0.06600615074958716,0.7639938969235099,0.100596201221754
9,0.8222043259698278,0.0582104290463179,0.7639938969235099,0.100596201221754
10,0.8916826427139756,0.12768874579046563,0.7639938969235099,0.100596201221754
11,0.870558222146368,0.10656432522285808,0.7639938969235099,0.100596201221754
12,0.7304450316158114,-0.03354886530769852,0.7639938969235099,0.100596201221754
13,0.7151954407495363,-0.0487984561739736,0.7639938969235099,0.100596201221754
14,0.8016698920535247,0.03767599513001474,0.7639938969235099,0.100596201221754
