Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.8973606244513608,0.21757184161656573,0.679788782834795,0.10841014789077023
2,0.6888119394616391,0.009023156626844053,0.679788782834795,0.10841014789077023
3,0.6682669526363897,-0.011521830198405358,0.679788782834795,0.10841014789077023
4,0.5691485702239939,-0.11064021261080115,0.679788782834795,0.10841014789077023
5,0.771834695126002,0.09204591229120695,0.679788782834795,0.10841014789077023
6,0.6630612165574861,-0.01672756627730898,0.679788782834795,0.10841014789077023
7,0.49868620980386363,-0.1811025730309314,0.679788782834795,0.10841014789077023
8,0.7234770908321839,0.043688307997388875,0.679788782834795,0.10841014789077023
9,0.5768297247222146,-0.10295905811258044,0.679788782834795,0.10841014789077023
10,0.7404108045328172,0.06062202169802211,0.679788782834795,0.10841014789077023
