Segment,JSD
1,0.6491799062862867
2,0.7396970156659166
3,0.7624059947434257
4,0.6300922105759097
5,0.67021538106391
6,0.7180178289946996
7,0.610459794954603
8,0.6167376761287563
9,0.6977897516694251
10,0.7328628079175199
11,0.6413127381969628
12,0.6522774832902035
13,0.6352359052381458
14,0.6171742822807147
15,0.5913053318402929
16,0.6720645814185824
17,0.6761031715500486
18,0.7094160542693383
19,0.6740290030003533
20,0.6213762477249698
21,0.7005754491161523
22,0.6286021044924939
23,0.7977572416869421
24,0.7349681010459705
25,0.6651391425472395
26,0.7399096631189415
27,0.7702267222466457
28,0.6991151411043148
