Segment,JSD
1,0.665610797207112
2,0.5720455795961269
3,0.5749581687630325
4,0.6145598075151268
5,0.6757539623027646
6,0.6837744375108175
7,0.6152688192435483
8,0.6014392883222965
9,0.6584811873810092
10,0.6039982026198104
11,0.7000008253958677
12,0.5807790112658444
13,0.6295063115572619
