Segment,JSD
1,0.5738781762520745
2,0.5639972986749586
3,0.716258538043515
4,0.6044882062818185
5,0.6358592653024754
6,0.6837859768589919
7,0.6892429492864138
8,0.8457976314361646
9,0.724728997256609
10,0.7020735112396077
11,0.6535574685729676
12,0.6835674610469904
13,0.5888388407362776
14,0.618547829822752
15,0.6971514803749601
16,0.670449679982016
17,0.6866712120337994
18,0.6683459753262287
19,0.6012393007960446
20,0.7150384626890395
21,0.6065198393656924
22,0.662854103524427
23,0.725416904936909
24,0.6595946692149939
25,0.5757190396974211
26,0.5883621864696487
27,0.7352396491578602
28,0.7277770983338884
29,0.7334445702602642
30,0.6607890117914725
