Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.7654185954795065,0.04967577856124028,0.7157428169182662,0.08550876667935026
2,0.802654388473324,0.0869115715550578,0.7157428169182662,0.08550876667935026
3,0.6023593654788638,-0.11338345143940243,0.7157428169182662,0.08550876667935026
4,0.8831768225650717,0.16743400564680544,0.7157428169182662,0.08550876667935026
5,0.5993994015465387,-0.11634341537172754,0.7157428169182662,0.08550876667935026
6,0.5907472353911383,-0.12499558152712797,0.7157428169182662,0.08550876667935026
7,0.6222032323311755,-0.09353958458709077,0.7157428169182662,0.08550876667935026
8,0.7618460537482933,0.04610323683002704,0.7157428169182662,0.08550876667935026
9,0.7186882461240937,0.00294542920582741,0.7157428169182662,0.08550876667935026
10,0.7485128437620754,0.03277002684380914,0.7157428169182662,0.08550876667935026
11,0.7654065392753031,0.049663722357036866,0.7157428169182662,0.08550876667935026
12,0.6973538312914925,-0.018388985626773713,0.7157428169182662,0.08550876667935026
13,0.6719610825440328,-0.043781734374233494,0.7157428169182662,0.08550876667935026
14,0.7906717988448176,0.0749289819265514,0.7157428169182662,0.08550876667935026
