Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.784588211329201,0.23196782019915307,0.5526203911300479,0.14503890344602943
2,0.7838626347261746,0.23124224359612666,0.5526203911300479,0.14503890344602943
3,0.5932852685153578,0.04066487738530988,0.5526203911300479,0.14503890344602943
4,0.6398562029760999,0.087235811846052,0.5526203911300479,0.14503890344602943
5,0.5087482790403958,-0.04387211208965214,0.5526203911300479,0.14503890344602943
6,0.5003862690114872,-0.05223412211856071,0.5526203911300479,0.14503890344602943
7,0.6630817319745197,0.11046134084447179,0.5526203911300479,0.14503890344602943
8,0.4628988248649583,-0.08972156626508959,0.5526203911300479,0.14503890344602943
9,0.4094377055047753,-0.1431826856252726,0.5526203911300479,0.14503890344602943
10,0.3615351920812276,-0.19108519904882032,0.5526203911300479,0.14503890344602943
11,0.3711439824063298,-0.18147640872371812,0.5526203911300479,0.14503890344602943
