Characters,Tokens,Segments,JSD Avg,JSD Dev,KLD Avg,KLD Dev,SGS Avg,SGS Dev,Avg_Vader,Avg_TextBlob,Avg_Subjectivity
1.0,0.9935143173662505,0.8600918237158119,0.2119467439663217,0.21194674396632163,-0.280517287098336,-0.2805172870983368,-0.154848327330932,-0.15484832733093226,-0.07889325225024726,0.44722691452115565,0.44936035610451813
0.9935143173662505,1.0,0.8376891637155385,0.1576747353273937,0.15767473532739362,-0.2776062772197632,-0.2776062772197639,-0.14392221701138794,-0.14392221701138816,-0.12275941987170334,0.4321570250496764,0.3949638119141232
0.8600918237158119,0.8376891637155385,1.0,0.2886889013054251,0.28868890130542474,-0.16833877207570128,-0.1683387720757025,-0.05481820052727011,-0.054818200527270336,0.0084718555300226,0.2895116274192916,0.1937553090918476
0.2119467439663217,0.1576747353273937,0.2886889013054251,1.0,1.0000000000000002,0.422002927637495,0.42200292763749425,-0.5463199558027046,-0.5463199558027048,-0.2575490763097331,-0.16207470227612952,0.33664694799464867
0.21194674396632163,0.15767473532739362,0.28868890130542474,1.0000000000000002,1.0,0.42200292763749525,0.4220029276374943,-0.5463199558027043,-0.5463199558027045,-0.2575490763097331,-0.16207470227612986,0.3366469479946489
-0.280517287098336,-0.2776062772197632,-0.16833877207570128,0.422002927637495,0.42200292763749525,1.0,1.0000000000000002,-0.04534207668064172,-0.0453420766806417,-0.34586198782036803,-0.5467412773115841,-0.49180726947715664
-0.2805172870983368,-0.2776062772197639,-0.1683387720757025,0.42200292763749425,0.4220029276374943,1.0000000000000002,1.0,-0.04534207668064042,-0.04534207668064039,-0.34586198782036826,-0.546741277311585,-0.4918072694771568
-0.154848327330932,-0.14392221701138794,-0.05481820052727011,-0.5463199558027046,-0.5463199558027043,-0.04534207668064172,-0.04534207668064042,1.0,1.0,0.2553726360656245,-0.4345754939340712,-0.47068591634018586
-0.15484832733093226,-0.14392221701138816,-0.054818200527270336,-0.5463199558027048,-0.5463199558027045,-0.0453420766806417,-0.04534207668064039,1.0,1.0,0.2553726360656243,-0.4345754939340712,-0.4706859163401861
-0.07889325225024726,-0.12275941987170334,0.0084718555300226,-0.2575490763097331,-0.2575490763097331,-0.34586198782036803,-0.34586198782036826,0.2553726360656245,0.2553726360656243,1.0,0.4672358286657825,-0.06752906369019085
0.44722691452115565,0.4321570250496764,0.2895116274192916,-0.16207470227612952,-0.16207470227612986,-0.5467412773115841,-0.546741277311585,-0.4345754939340712,-0.4345754939340712,0.4672358286657825,1.0,0.3971968182833762
0.44936035610451813,0.3949638119141232,0.1937553090918476,0.33664694799464867,0.3366469479946489,-0.49180726947715664,-0.4918072694771568,-0.47068591634018586,-0.4706859163401861,-0.06752906369019085,0.3971968182833762,1.0
