Characters,Tokens,Segments,JSD Avg,JSD Dev,KLD Avg,KLD Dev,SGS Avg,SGS Dev,Avg_Vader,Avg_TextBlob,Avg_Subjectivity
1.0,0.9995270010134573,0.9185882944753981,0.17384744058524307,0.17384744058524265,0.3894093036996412,0.3894093036996412,0.18459718861298494,0.18459718861298596,0.23756546033197065,0.46434394293690134,-0.01450151679248621
0.9995270010134573,1.0,0.9147512815520814,0.1660071429808255,0.16600714298082508,0.3937124195138606,0.3937124195138605,0.18909971198629055,0.18909971198629158,0.2380425414265127,0.4627703726880049,-0.023478277179789477
0.9185882944753981,0.9147512815520814,1.0,0.10322698154689984,0.10322698154689923,0.36418043573422687,0.36418043573422676,0.18507880283557318,0.18507880283557457,0.01891539747355052,0.4033727083690476,-0.07307448011889905
0.17384744058524307,0.1660071429808255,0.10322698154689984,1.0,1.0,-0.013250856646667537,-0.013250856646667768,-0.5131977952499354,-0.5131977952499354,0.43385012772716297,0.1752425838793674,0.31274563857162235
0.17384744058524265,0.16600714298082508,0.10322698154689923,1.0,1.0,-0.01325085664666801,-0.013250856646668186,-0.5131977952499354,-0.5131977952499353,0.4338501277271629,0.17524258387936703,0.312745638571622
0.3894093036996412,0.3937124195138606,0.36418043573422687,-0.013250856646667537,-0.01325085664666801,1.0,1.0,0.5758025811526882,0.5758025811526885,0.027639769142019873,0.5678132845654615,0.12533635471039706
0.3894093036996412,0.3937124195138605,0.36418043573422676,-0.013250856646667768,-0.013250856646668186,1.0,1.0,0.5758025811526883,0.5758025811526887,0.027639769142020005,0.5678132845654618,0.12533635471039722
0.18459718861298494,0.18909971198629055,0.18507880283557318,-0.5131977952499354,-0.5131977952499354,0.5758025811526882,0.5758025811526883,1.0,1.0000000000000002,-0.29875478713139364,0.33729233182342105,0.16492394861524695
0.18459718861298596,0.18909971198629158,0.18507880283557457,-0.5131977952499354,-0.5131977952499353,0.5758025811526885,0.5758025811526887,1.0000000000000002,1.0,-0.2987547871313938,0.3372923318234214,0.1649239486152469
0.23756546033197065,0.2380425414265127,0.01891539747355052,0.43385012772716297,0.4338501277271629,0.027639769142019873,0.027639769142020005,-0.29875478713139364,-0.2987547871313938,1.0,0.5800683419830602,0.4653029314675906
0.46434394293690134,0.4627703726880049,0.4033727083690476,0.1752425838793674,0.17524258387936703,0.5678132845654615,0.5678132845654618,0.33729233182342105,0.3372923318234214,0.5800683419830602,1.0,0.5119566627166143
-0.01450151679248621,-0.023478277179789477,-0.07307448011889905,0.31274563857162235,0.312745638571622,0.12533635471039706,0.12533635471039722,0.16492394861524695,0.1649239486152469,0.4653029314675906,0.5119566627166143,1.0
