Characters,Tokens,Segments,JSD Avg,JSD Dev,KLD Avg,KLD Dev,SGS Avg,SGS Dev,Avg_Vader,Avg_TextBlob,Avg_Subjectivity
1.0,0.9987962933677734,0.9687791868936912,-0.17159986207409866,-0.17159986207409897,-0.45883331100155544,-0.458833311001555,-0.05628300986872236,-0.056283009868722894,-0.3066404918393653,0.6281864709008994,0.14633948913599834
0.9987962933677734,1.0,0.970310162687898,-0.19745309476499806,-0.19745309476499828,-0.4799278691470806,-0.47992786914708,-0.03936928135748963,-0.03936928135749014,-0.3038315342798456,0.613604897123164,0.14140771569799032
0.9687791868936912,0.970310162687898,1.0,-0.301133993404713,-0.30113399340471325,-0.626312508156939,-0.6263125081569385,-0.02165271145018593,-0.021652711450186643,-0.2345531158486713,0.7021592885949497,0.08915376052438231
-0.17159986207409866,-0.19745309476499806,-0.301133993404713,1.0,1.0000000000000002,0.8462329039332719,0.846232903933272,-0.7779740525242067,-0.777974052524206,-0.41703328800846967,-0.3088908429178161,-0.017602511313964193
-0.17159986207409897,-0.19745309476499828,-0.30113399340471325,1.0000000000000002,1.0,0.846232903933272,0.8462329039332722,-0.7779740525242065,-0.7779740525242061,-0.4170332880084697,-0.3088908429178164,-0.017602511313964023
-0.45883331100155544,-0.4799278691470806,-0.626312508156939,0.8462329039332719,0.846232903933272,1.0,1.0,-0.43978982931794,-0.43978982931793914,-0.13518166240196505,-0.4421442645675007,0.026262714591555752
-0.458833311001555,-0.47992786914708,-0.6263125081569385,0.846232903933272,0.8462329039332722,1.0,1.0,-0.43978982931794,-0.4397898293179393,-0.13518166240196508,-0.44214426456750083,0.026262714591556234
-0.05628300986872236,-0.03936928135748963,-0.02165271145018593,-0.7779740525242067,-0.7779740525242065,-0.43978982931794,-0.43978982931794,1.0,1.0,0.3786120380029425,0.09723002438208818,0.208778760606582
-0.056283009868722894,-0.03936928135749014,-0.021652711450186643,-0.777974052524206,-0.7779740525242061,-0.43978982931793914,-0.4397898293179393,1.0,1.0,0.37861203800294213,0.09723002438208754,0.20877876060658204
-0.3066404918393653,-0.3038315342798456,-0.2345531158486713,-0.41703328800846967,-0.4170332880084697,-0.13518166240196505,-0.13518166240196508,0.3786120380029425,0.37861203800294213,1.0,0.07897025746169267,-0.04319218474058461
0.6281864709008994,0.613604897123164,0.7021592885949497,-0.3088908429178161,-0.3088908429178164,-0.4421442645675007,-0.44214426456750083,0.09723002438208818,0.09723002438208754,0.07897025746169267,1.0,0.2563157560194543
0.14633948913599834,0.14140771569799032,0.08915376052438231,-0.017602511313964193,-0.017602511313964023,0.026262714591555752,0.026262714591556234,0.208778760606582,0.20877876060658204,-0.04319218474058461,0.2563157560194543,1.0
