Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.3866588771343231,-0.24487469664641792,0.631533573780741,0.10569748603805977
2,0.5173750519752502,-0.1141585218054908,0.631533573780741,0.10569748603805977
3,0.7795187830924988,0.14798520931175774,0.631533573780741,0.10569748603805977
4,0.6153148412704468,-0.016218732510294265,0.631533573780741,0.10569748603805977
5,0.7061404585838318,0.07460688480309074,0.631533573780741,0.10569748603805977
6,0.5048554539680481,-0.12667811981269295,0.631533573780741,0.10569748603805977
7,0.5778862237930298,-0.05364734998771126,0.631533573780741,0.10569748603805977
8,0.6280670166015625,-0.003466557179178542,0.631533573780741,0.10569748603805977
9,0.7766732573509216,0.1451396835701806,0.631533573780741,0.10569748603805977
10,0.6573383808135986,0.02580480703285759,0.631533573780741,0.10569748603805977
11,0.658850908279419,0.027317334498677903,0.631533573780741,0.10569748603805977
12,0.724786639213562,0.09325306543282097,0.631533573780741,0.10569748603805977
13,0.7017614841461182,0.07022791036537712,0.631533573780741,0.10569748603805977
14,0.6062426567077637,-0.02529091707297737,0.631533573780741,0.10569748603805977
