Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.2667444944381714,-0.36331117153167725,0.6300556659698486,0.12936607006298415
2,0.6340704560279846,0.004014790058135986,0.6300556659698486,0.12936607006298415
3,0.7578132748603821,0.12775760889053345,0.6300556659698486,0.12936607006298415
4,0.7208676338195801,0.09081196784973145,0.6300556659698486,0.12936607006298415
5,0.6404809951782227,0.010425329208374023,0.6300556659698486,0.12936607006298415
6,0.7135648727416992,0.08350920677185059,0.6300556659698486,0.12936607006298415
7,0.6493499279022217,0.019294261932373047,0.6300556659698486,0.12936607006298415
8,0.6743561625480652,0.04430049657821655,0.6300556659698486,0.12936607006298415
9,0.6463264226913452,0.016270756721496582,0.6300556659698486,0.12936607006298415
10,0.5969824194908142,-0.033073246479034424,0.6300556659698486,0.12936607006298415
