ID,File,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run,SGS Avg,SGS Dev,SGS Avg Run,SGS Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250710_110156_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Rumpelstiltskin,3965,710,8,0.7446531599901209,-0.0181723031232065,0.7628254631133274,0.0527441327238417,0.6888077293220378,0.0268769618509474,0.6619307674710904,0.0655888199775115,0.7013563769204276,0.1197401339418831,0.5816162429785445,0.1078796486722886
2,02_grimm_pg19068_rapunzel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Rapunzel,5010,945,7,0.7835551084772071,0.0207296453638796,0.7628254631133274,0.0527441327238417,0.7353898379438962,0.0734590704728058,0.6619307674710904,0.0655888199775115,0.4790913909673691,-0.1025248520111754,0.5816162429785445,0.1078796486722886
3,03_grimm_pg19068_aschenputtel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Aschenputtel,5731,1109,10,0.770919305202652,0.0080938420893245,0.7628254631133274,0.0527441327238417,0.6576037620752755,-0.0043270053958148,0.6619307674710904,0.0655888199775115,0.5740540027618408,-0.0075622402167037,0.5816162429785445,0.1078796486722886
4,04_grimm_pg19068_little_red-cap_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Little Red-cap,4097,776,7,0.7407857509345536,-0.0220397121787738,0.7628254631133274,0.0527441327238417,0.7113748678331553,0.0494441003620649,0.6619307674710904,0.0655888199775115,0.6945817470550537,0.1129655040765091,0.5816162429785445,0.1078796486722886
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Sleeping Beauty,3128,566,5,0.8195507849382229,0.0567253218248954,0.7628254631133274,0.0527441327238417,0.6828572789821007,0.0209265115110103,0.6619307674710904,0.0655888199775115,0.6102816462516785,0.0286654032731339,0.5816162429785445,0.1078796486722886
6,06_grimm_pg19068_hansel_and_grethel_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Hansel and Grethel,6124,1148,10,0.7831203043061739,0.0202948411928464,0.7628254631133274,0.0527441327238417,0.5855866364652351,-0.0763441310058552,0.6619307674710904,0.0655888199775115,0.5915006101131439,0.0098843671345993,0.5816162429785445,0.1078796486722886
7,07_grimm_pg19068_snow-white_tt_20250710_110157_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated Snow-white,3027,558,4,0.8067241549731806,0.0438986918598531,0.7628254631133274,0.0527441327238417,0.771243074302939,0.1093123068318486,0.6619307674710904,0.0655888199775115,0.698011577129364,0.1163953341508194,0.5816162429785445,0.1078796486722886
8,08_grimm_pg19068_the_golden_goose_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Golden Goose,3637,671,5,0.623980446368664,-0.1388450167446634,0.7628254631133274,0.0527441327238417,0.5560615052601605,-0.1058692622109298,0.6619307674710904,0.0655888199775115,0.6222159415483475,0.0405996985698029,0.5816162429785445,0.1078796486722886
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Wolf and the Seven Kids,2564,469,6,0.7635690668723333,0.0007436037590058,0.7628254631133274,0.0527441327238417,0.5980993560429189,-0.0638314114281715,0.6619307674710904,0.0655888199775115,0.727721381187439,0.1461051382088944,0.5816162429785445,0.1078796486722886
10,10_grimm_pg19068_the_frog_prince_tt_20250710_110158_tt_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_191246_tt_20250714_002423.txt,AI-generated The Frog Prince,2982,566,5,0.7625052139638886,-0.0003202491494388,0.7628254631133274,0.0527441327238417,0.7329707974634133,0.0710400299923229,0.6619307674710904,0.0655888199775115,0.5016159489750862,-0.0800002940034583,0.5816162429785445,0.1078796486722886
