ID,File,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run,SGS Avg,SGS Dev,SGS Avg Run,SGS Std Run
1,01_grimm_pg19068_rumpelstiltskin_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Rumpelstiltskin,2977,547,6,0.7949395135333556,0.0200336218744238,0.7749058916589318,0.0497978451506935,0.7543766816716887,0.0119744507724834,0.7424022308992052,0.0363281795261924,0.7033989667892456,0.0407606021456775,0.6626383646435681,0.0544140330556753
2,02_grimm_pg19068_rapunzel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Rapunzel,4121,799,8,0.7392960056773344,-0.0356098859815973,0.7749058916589318,0.0497978451506935,0.7208297781610481,-0.0215724527381571,0.7424022308992052,0.0363281795261924,0.7432973980903625,0.0806590334467944,0.6626383646435681,0.0544140330556753
3,03_grimm_pg19068_aschenputtel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Aschenputtel,4262,782,8,0.783837405030804,0.0089315133718722,0.7749058916589318,0.0497978451506935,0.7486121010868498,0.0062098701876446,0.7424022308992052,0.0363281795261924,0.6426872866494315,-0.0199510779941365,0.6626383646435681,0.0544140330556753
4,04_grimm_pg19068_little_red-cap_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Little Red-cap,3395,626,7,0.6919775829864809,-0.0829283086724508,0.7749058916589318,0.0497978451506935,0.702183042107379,-0.0402191887918261,0.7424022308992052,0.0363281795261924,0.6873282839854559,0.0246899193418878,0.6626383646435681,0.0544140330556753
5,05_grimm_pg19068_the_sleeping_beauty_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Sleeping Beauty,3203,611,7,0.8402680483225845,0.0653621566636527,0.7749058916589318,0.0497978451506935,0.7983910207477498,0.0559887898485446,0.7424022308992052,0.0363281795261924,0.6305148204167684,-0.0321235442267996,0.6626383646435681,0.0544140330556753
6,06_grimm_pg19068_hansel_and_grethel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Hansel and Grethel,3472,617,7,0.8253328835383615,0.0504269918794297,0.7749058916589318,0.0497978451506935,0.7398141475482595,-0.0025880833509457,0.7424022308992052,0.0363281795261924,0.6570601910352707,-0.0055781736082973,0.6626383646435681,0.0544140330556753
7,07_grimm_pg19068_snow-white_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Snow-white,4462,809,9,0.8288156703053482,0.0539097786464164,0.7749058916589318,0.0497978451506935,0.8281646141216441,0.0857623832224389,0.7424022308992052,0.0363281795261924,0.590906985104084,-0.071731379539484,0.6626383646435681,0.0544140330556753
8,08_grimm_pg19068_the_golden_goose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Golden Goose,4834,907,10,0.7235001888041699,-0.0514057028547618,0.7749058916589318,0.0497978451506935,0.7358186441112952,-0.00658358678791,0.7424022308992052,0.0363281795261924,0.6600923405753242,-0.0025460240682438,0.6626383646435681,0.0544140330556753
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Wolf and the Seven Kids,5196,1005,11,0.7356225515381748,-0.0392833401207569,0.7749058916589318,0.0497978451506935,0.7079078147264203,-0.0344944161727849,0.7424022308992052,0.0363281795261924,0.6989411890506745,0.0363028244071064,0.6626383646435681,0.0544140330556753
10,10_grimm_pg19068_the_frog_prince_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Frog Prince,5259,1025,11,0.7466881370320344,-0.0282177546268973,0.7749058916589318,0.0497978451506935,0.7003857426621808,-0.0420164882370244,0.7424022308992052,0.0363281795261924,0.59132399559021,-0.071314369053358,0.6626383646435681,0.0544140330556753
11,11_grimm_gb1823_jorinda_and_jorindel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Jorinda and Jorindel,2381,444,5,0.836679567357642,0.0617736756987102,0.7749058916589318,0.0497978451506935,0.7847103231760328,0.0423080922768276,0.7424022308992052,0.0363281795261924,0.6777312904596329,0.0150929258160648,0.6626383646435681,0.0544140330556753
12,12_grimm_gb1826_the_nose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Nose,2694,507,6,0.9032510756302742,0.1283451839713424,0.7749058916589318,0.0497978451506935,0.8149421911110926,0.0725399602118873,0.7424022308992052,0.0363281795261924,0.5559406161308289,-0.1066977485127391,0.6626383646435681,0.0544140330556753
13,13_grimm_ia1853-1_the_little_brother_and_sister_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Little Brother and Sister,2250,422,5,0.7466239465490238,-0.028281945109908,0.7749058916589318,0.0497978451506935,0.7471988547414121,0.0047966238422069,0.7424022308992052,0.0363281795261924,0.6162557750940323,-0.0463825895495357,0.6626383646435681,0.0544140330556753
14,14_grimm_ia1853-1_the_gold_children_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Gold Children,3604,706,8,0.72049384095617,-0.0544120507027617,0.7749058916589318,0.0497978451506935,0.7031299836849116,-0.0392722472142935,0.7424022308992052,0.0363281795261924,0.7424883587019784,0.0798499940584103,0.6626383646435681,0.0544140330556753
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,"AI-generated The Knapsack, the Hat, and the Horn",7775,1441,15,0.7639938969235099,-0.0109119947354218,0.7749058916589318,0.0497978451506935,0.7157428169182662,-0.0266594139809389,0.7424022308992052,0.0363281795261924,0.631533573780741,-0.031104790862827,0.6626383646435681,0.0544140330556753
16,16_grimm_gb1826_the_crows_and_the_soldier_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Crows and the Soldier,4918,930,10,0.7385471913213402,-0.0363587003375915,0.7749058916589318,0.0497978451506935,0.7249510064955131,-0.017451224403692,0.7424022308992052,0.0363281795261924,0.648995879623625,-0.013642485019943,0.6626383646435681,0.0544140330556753
17,17_grimm_gb1853-2_the_faithful_beasts_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Faithful Beasts,4234,784,8,0.787620839219118,0.0127149475601862,0.7749058916589318,0.0497978451506935,0.746079058036769,0.0036768271375637,0.7424022308992052,0.0363281795261924,0.6154890656471252,-0.0471492989964428,0.6626383646435681,0.0544140330556753
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Sparrow and his Four Children,3076,564,6,0.7544968902732312,-0.0204090013857005,0.7749058916589318,0.0497978451506935,0.7319088885264213,-0.0104933423727838,0.7424022308992052,0.0363281795261924,0.7209433078765869,0.0583049432330188,0.6626383646435681,0.0544140330556753
19,19_grimm_gb1853-2_the_stolen_farthings_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated The Stolen Farthings,4110,783,8,0.7753153802986453,0.0004094886397135,0.7749058916589318,0.0497978451506935,0.7210681961463765,-0.0213340347528286,0.7424022308992052,0.0363281795261924,0.6732379496097565,0.0105995849661884,0.6626383646435681,0.0544140330556753
20,20_grimm_gb1853-2_three_little_tales_about_toads_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322.txt,AI-generated Three Little Tales about Toads,3426,666,7,0.7608172178810317,-0.0140886737779,0.7749058916589318,0.0497978451506935,0.7218297122027936,-0.0205725186964116,0.7424022308992052,0.0363281795261924,0.7646000186602274,0.1019616540166593,0.6626383646435681,0.0544140330556753
