ID,File,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run,SGS Avg,SGS Dev,SGS Avg Run,SGS Std Run,Avg_Vader,Avg_TextBlob,Avg_Subjectivity
1,01_grimm_pg19068_rumpelstiltskin_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Rumpelstiltskin,2978,547,5,0.7718917660312031,0.0022035319879892,0.7696882340432138,0.057949741482575,0.6590029887041613,-0.0672107886075374,0.7262137773116988,0.067768454306782,0.7460415661334991,0.0466215667725254,0.6994199993609737,0.0622929339678592,0.55272,0.168220899,0.527046958
2,02_grimm_pg19068_rapunzel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Rapunzel,4122,799,7,0.7240377312319953,-0.0456505028112185,0.7696882340432138,0.057949741482575,0.7157042436074702,-0.0105095337042285,0.7262137773116988,0.067768454306782,0.7018081744511923,0.0023881750902186,0.6994199993609737,0.0622929339678592,0.475014286,0.263825429,0.616216156
3,03_grimm_pg19068_aschenputtel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Aschenputtel,4263,782,8,0.805399355023395,0.0357111209801811,0.7696882340432138,0.057949741482575,0.6868389960920679,-0.0393747812196308,0.7262137773116988,0.067768454306782,0.6668879474912371,-0.0325320518697365,0.6994199993609737,0.0622929339678592,0.55355,0.151032272,0.610351656
4,04_grimm_pg19068_little_red-cap_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Little Red-cap,3396,626,6,0.7054646877104528,-0.064223546332761,0.7696882340432138,0.057949741482575,0.6214679599264807,-0.104745817385218,0.7262137773116988,0.067768454306782,0.6854878187179565,-0.0139321806430171,0.6994199993609737,0.0622929339678592,-0.440883333,-0.081076974,0.539187637
5,05_grimm_pg19068_the_sleeping_beauty_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated The Sleeping Beauty,3204,611,6,0.8351970310101935,0.0655087969669796,0.7696882340432138,0.057949741482575,0.7570529198396259,0.030839142527927,0.7262137773116988,0.067768454306782,0.6273182511329651,-0.0721017482280085,0.6994199993609737,0.0622929339678592,0.584016667,0.258003472,0.548541667
6,06_grimm_pg19068_hansel_and_grethel_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Hansel and Grethel,3473,617,4,0.8107252794610139,0.0410370454178,0.7696882340432138,0.057949741482575,0.7969156817274419,0.070701904415743,0.7262137773116988,0.067768454306782,0.7550815542538961,0.0556615548929224,0.6994199993609737,0.0622929339678592,0.34895,0.175911458,0.54155506
7,07_grimm_pg19068_snow-white_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated Snow-white,4463,809,7,0.7827564998368045,0.0130682657935906,0.7696882340432138,0.057949741482575,0.7705278178309448,0.044314040519246,0.7262137773116988,0.067768454306782,0.6860770781834921,-0.0133429211774815,0.6994199993609737,0.0622929339678592,-0.121685714,0.113679901,0.550692482
8,08_grimm_pg19068_the_golden_goose_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated The Golden Goose,4835,907,7,0.6736790567636858,-0.096009177279528,0.7696882340432138,0.057949741482575,0.6219560877534518,-0.1042576895582469,0.7262137773116988,0.067768454306782,0.7388851841290792,0.0394651847681055,0.6994199993609737,0.0622929339678592,0.5783,0.193173351,0.37618046
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002150.txt,AI-generated The Wolf and the Seven Kids,5197,1005,7,0.6883766280173517,-0.0813116060258621,0.7696882340432138,0.057949741482575,0.671706182260705,-0.0545075950509937,0.7262137773116988,0.067768454306782,0.822319914897283,0.1228999155363093,0.6994199993609737,0.0622929339678592,0.542185714,0.070683247,0.424104134
10,10_grimm_pg19068_the_frog_prince_el_gen_mistral-7b-instruct-v0.2.Q4_K_M_20250713_174322_tt_20250714_002151.txt,AI-generated The Frog Prince,5260,1025,9,0.720050018743229,-0.0496382152999848,0.7696882340432138,0.057949741482575,0.7188180872241843,-0.0073956900875145,0.7262137773116988,0.067768454306782,0.720841109752655,0.0214211103916813,0.6994199993609737,0.0622929339678592,0.944744444,0.273585092,0.606884199
