Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.637657642364502,0.02735966444015503,0.6102979779243469,0.07871739874013499
2,0.5215350389480591,-0.08876293897628784,0.6102979779243469,0.07871739874013499
3,0.5940343141555786,-0.01626366376876831,0.6102979779243469,0.07871739874013499
4,0.6191492676734924,0.008851289749145508,0.6102979779243469,0.07871739874013499
5,0.6189960241317749,0.008698046207427979,0.6102979779243469,0.07871739874013499
6,0.667002260684967,0.05670428276062012,0.6102979779243469,0.07871739874013499
7,0.452093243598938,-0.15820473432540894,0.6102979779243469,0.07871739874013499
8,0.565314769744873,-0.04498320817947388,0.6102979779243469,0.07871739874013499
9,0.6880180835723877,0.07772010564804077,0.6102979779243469,0.07871739874013499
10,0.7391791343688965,0.12888115644454956,0.6102979779243469,0.07871739874013499
