Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.6544092893600464,0.020635132606212858,0.6337741567538335,0.1026057445756653
2,0.614659309387207,-0.019114847366626497,0.6337741567538335,0.1026057445756653
3,0.753813624382019,0.12003946762818551,0.6337741567538335,0.1026057445756653
4,0.4717363119125366,-0.1620378448412969,0.6337741567538335,0.1026057445756653
5,0.5166600942611694,-0.1171140624926641,0.6337741567538335,0.1026057445756653
6,0.5751988887786865,-0.058575267975147005,0.6337741567538335,0.1026057445756653
7,0.6182637810707092,-0.0155103756831243,0.6337741567538335,0.1026057445756653
8,0.6064016222953796,-0.02737253445845389,0.6337741567538335,0.1026057445756653
9,0.5338802337646484,-0.09989392298918509,0.6337741567538335,0.1026057445756653
10,0.8134858012199402,0.17971164446610666,0.6337741567538335,0.1026057445756653
11,0.7875748872756958,0.15380073052186227,0.6337741567538335,0.1026057445756653
12,0.720707893371582,0.0869337366177485,0.6337741567538335,0.1026057445756653
13,0.5722723007202148,-0.061501856033618685,0.6337741567538335,0.1026057445756653
