Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.6544092893600464,0.2040952765024625,0.4503140128575839,0.12845613869936198
2,0.6597858667373657,0.20947185387978184,0.4503140128575839,0.12845613869936198
3,0.7059979438781738,0.25568393102058995,0.4503140128575839,0.12845613869936198
4,0.41350269317626953,-0.03681131968131435,0.4503140128575839,0.12845613869936198
5,0.41926464438438416,-0.031049368473199723,0.4503140128575839,0.12845613869936198
6,0.34897103905677795,-0.10134297380080592,0.4503140128575839,0.12845613869936198
7,0.41756540536880493,-0.03274860748877895,0.4503140128575839,0.12845613869936198
8,0.3413075804710388,-0.10900643238654506,0.4503140128575839,0.12845613869936198
9,0.42240220308303833,-0.02791180977454555,0.4503140128575839,0.12845613869936198
10,0.3896820545196533,-0.06063195833793056,0.4503140128575839,0.12845613869936198
11,0.42064368724823,-0.029670325609353898,0.4503140128575839,0.12845613869936198
12,0.3744693100452423,-0.07584470281234157,0.4503140128575839,0.12845613869936198
13,0.2860804498195648,-0.16423356303801906,0.4503140128575839,0.12845613869936198
