Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.3991612195968628,-0.15391806364059446,0.5530792832374573,0.1396424071333558
2,0.6824159622192383,0.12933667898178103,0.5530792832374573,0.1396424071333558
3,0.7681889533996582,0.21510967016220095,0.5530792832374573,0.1396424071333558
4,0.7792373895645142,0.2261581063270569,0.5530792832374573,0.1396424071333558
5,0.7721307277679443,0.21905144453048708,0.5530792832374573,0.1396424071333558
6,0.7009612917900085,0.1478820085525513,0.5530792832374573,0.1396424071333558
7,0.49435174465179443,-0.05872753858566282,0.5530792832374573,0.1396424071333558
8,0.37765955924987793,-0.17541972398757932,0.5530792832374573,0.1396424071333558
9,0.5053805112838745,-0.04769877195358274,0.5530792832374573,0.1396424071333558
10,0.4134443700313568,-0.13963491320610044,0.5530792832374573,0.1396424071333558
11,0.4825454354286194,-0.07053384780883787,0.5530792832374573,0.1396424071333558
12,0.48576077818870544,-0.06731850504875181,0.5530792832374573,0.1396424071333558
13,0.5113593935966492,-0.04171988964080808,0.5530792832374573,0.1396424071333558
14,0.4830358624458313,-0.07004342079162595,0.5530792832374573,0.1396424071333558
15,0.44055604934692383,-0.11252323389053343,0.5530792832374573,0.1396424071333558
