Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.624678373336792,-0.012310509498302702,0.6369888828350947,0.06141844776578385
2,0.7762589454650879,0.1392700626299932,0.6369888828350947,0.06141844776578385
3,0.6139851212501526,-0.023003761584942106,0.6369888828350947,0.06141844776578385
4,0.6397930383682251,0.0028041555331304036,0.6369888828350947,0.06141844776578385
5,0.6227716207504272,-0.014217262084667448,0.6369888828350947,0.06141844776578385
6,0.540500283241272,-0.09648859959382272,0.6369888828350947,0.06141844776578385
7,0.6175889372825623,-0.019399945552532438,0.6369888828350947,0.06141844776578385
8,0.6285868883132935,-0.008401994521801237,0.6369888828350947,0.06141844776578385
9,0.6815260648727417,0.044537182037647005,0.6369888828350947,0.06141844776578385
10,0.7445641756057739,0.10757529277067923,0.6369888828350947,0.06141844776578385
11,0.5821161270141602,-0.05487275582093454,0.6369888828350947,0.06141844776578385
12,0.5923380851745605,-0.04465079766053415,0.6369888828350947,0.06141844776578385
13,0.6161478161811829,-0.020841066653911833,0.6369888828350947,0.06141844776578385
