Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.624678373336792,-0.04693211041964018,0.6716104837564322,0.07674898668536262
2,0.736452579498291,0.06484209574185884,0.6716104837564322,0.07674898668536262
3,0.6237715482711792,-0.047838935485252976,0.6716104837564322,0.07674898668536262
4,0.6759324073791504,0.004321923622718216,0.6716104837564322,0.07674898668536262
5,0.7545239329338074,0.0829134491773752,0.6716104837564322,0.07674898668536262
6,0.6822969913482666,0.010686507591834427,0.6716104837564322,0.07674898668536262
7,0.7036521434783936,0.03204165972196138,0.6716104837564322,0.07674898668536262
8,0.5081368088722229,-0.16347367488420927,0.6716104837564322,0.07674898668536262
9,0.7061092853546143,0.03449880159818208,0.6716104837564322,0.07674898668536262
10,0.7517045736312866,0.08009408987485445,0.6716104837564322,0.07674898668536262
11,0.6101577281951904,-0.061452755561241745,0.6716104837564322,0.07674898668536262
12,0.7808922529220581,0.10928176916562593,0.6716104837564322,0.07674898668536262
13,0.5726276636123657,-0.09898282014406645,0.6716104837564322,0.07674898668536262
