Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.5984733700752258,-0.06177378242666076,0.6602471525018866,0.11048781203865454
2,0.5149162411689758,-0.14533091133291076,0.6602471525018866,0.11048781203865454
3,0.7881723642349243,0.12792521173303772,0.6602471525018866,0.11048781203865454
4,0.8068387508392334,0.1465915983373468,0.6602471525018866,0.11048781203865454
5,0.4515640139579773,-0.2086831385439093,0.6602471525018866,0.11048781203865454
6,0.6329339742660522,-0.027313178235834346,0.6602471525018866,0.11048781203865454
7,0.6908150315284729,0.03056787902658631,0.6602471525018866,0.11048781203865454
8,0.6902076005935669,0.029960448091680303,0.6602471525018866,0.11048781203865454
9,0.7137924432754517,0.05354529077356507,0.6602471525018866,0.11048781203865454
10,0.790002703666687,0.12975555116480042,0.6602471525018866,0.11048781203865454
11,0.5850021839141846,-0.07524496858770202,0.6602471525018866,0.11048781203865454
