Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.4989844560623169,0.031019173562526703,0.4679652824997902,0.10091219556532008
2,0.6516295075416565,0.1836642250418663,0.4679652824997902,0.10091219556532008
3,0.43499380350112915,-0.03297147899866104,0.4679652824997902,0.10091219556532008
4,0.42611151933670044,-0.04185376316308975,0.4679652824997902,0.10091219556532008
5,0.4184567630290985,-0.04950851947069168,0.4679652824997902,0.10091219556532008
6,0.31733229756355286,-0.15063298493623734,0.4679652824997902,0.10091219556532008
7,0.3140566349029541,-0.1539086475968361,0.4679652824997902,0.10091219556532008
8,0.4786502420902252,0.010684959590435028,0.4679652824997902,0.10091219556532008
9,0.5662132501602173,0.0982479676604271,0.4679652824997902,0.10091219556532008
10,0.5739545822143555,0.10598929971456528,0.4679652824997902,0.10091219556532008
11,0.3814736008644104,-0.08649168163537979,0.4679652824997902,0.10091219556532008
12,0.5537267327308655,0.08576145023107529,0.4679652824997902,0.10091219556532008
