Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.5128055214881897,0.059647425361301576,0.4531580961268881,0.0808996076192397
2,0.5431853532791138,0.09002725715222565,0.4531580961268881,0.0808996076192397
3,0.5974712371826172,0.14431314105572907,0.4531580961268881,0.0808996076192397
4,0.4810578227043152,0.027899726577427064,0.4531580961268881,0.0808996076192397
5,0.4804440140724182,0.02728591794553009,0.4531580961268881,0.0808996076192397
6,0.5142261981964111,0.06106810206952301,0.4531580961268881,0.0808996076192397
7,0.5292798280715942,0.07612173194470612,0.4531580961268881,0.0808996076192397
8,0.48501119017601013,0.03185309404912201,0.4531580961268881,0.0808996076192397
9,0.5461320877075195,0.09297399158063141,0.4531580961268881,0.0808996076192397
10,0.41860783100128174,-0.03455026512560638,0.4531580961268881,0.0808996076192397
11,0.5616011619567871,0.10844306582989899,0.4531580961268881,0.0808996076192397
12,0.5121925473213196,0.05903445119443146,0.4531580961268881,0.0808996076192397
13,0.47207385301589966,0.018915756889011537,0.4531580961268881,0.0808996076192397
14,0.40445640683174133,-0.04870168929514679,0.4531580961268881,0.0808996076192397
15,0.28806746006011963,-0.1650906360667685,0.4531580961268881,0.0808996076192397
16,0.3722494840621948,-0.0809086120646933,0.4531580961268881,0.0808996076192397
17,0.34400665760040283,-0.10915143852648529,0.4531580961268881,0.0808996076192397
18,0.40405598282814026,-0.04910211329874786,0.4531580961268881,0.0808996076192397
19,0.39060360193252563,-0.06255449419436249,0.4531580961268881,0.0808996076192397
20,0.33198440074920654,-0.12117369537768158,0.4531580961268881,0.0808996076192397
21,0.47188296914100647,0.01872487301411835,0.4531580961268881,0.0808996076192397
22,0.39750075340270996,-0.05565734272417816,0.4531580961268881,0.0808996076192397
23,0.36373984813690186,-0.08941824798998627,0.4531580961268881,0.0808996076192397
