Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.5258806347846985,0.023124329353633732,0.5027563054310648,0.11926976914812866
2,0.6919530034065247,0.1891966979754599,0.5027563054310648,0.11926976914812866
3,0.5426256060600281,0.03986930062896332,0.5027563054310648,0.11926976914812866
4,0.6438931226730347,0.14113681724196991,0.5027563054310648,0.11926976914812866
5,0.7763419151306152,0.2735856096995505,0.5027563054310648,0.11926976914812866
6,0.5970526933670044,0.09429638793593964,0.5027563054310648,0.11926976914812866
7,0.651869535446167,0.14911323001510224,0.5027563054310648,0.11926976914812866
8,0.511067807674408,0.008311502243343205,0.5027563054310648,0.11926976914812866
9,0.4334297776222229,-0.06932652780884185,0.5027563054310648,0.11926976914812866
10,0.43420571088790894,-0.06855059454315582,0.5027563054310648,0.11926976914812866
11,0.43685615062713623,-0.06590015480392852,0.5027563054310648,0.11926976914812866
12,0.33730536699295044,-0.16545093843811431,0.5027563054310648,0.11926976914812866
13,0.36404386162757874,-0.13871244380348602,0.5027563054310648,0.11926976914812866
14,0.4862111508846283,-0.016545154546436458,0.5027563054310648,0.11926976914812866
15,0.4281649589538574,-0.07459134647720733,0.5027563054310648,0.11926976914812866
16,0.39254534244537354,-0.11021096298569122,0.5027563054310648,0.11926976914812866
17,0.5270153284072876,0.024259022976222844,0.5027563054310648,0.11926976914812866
18,0.3920678496360779,-0.11068845579498687,0.5027563054310648,0.11926976914812866
19,0.3798399865627289,-0.12291631886833587,0.5027563054310648,0.11926976914812866
