Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.7379100322723389,0.13046918403018604,0.6074408482421528,0.1365539484538967
2,0.6848658323287964,0.07742498408664356,0.6074408482421528,0.1365539484538967
3,0.7020871639251709,0.09464631568301807,0.6074408482421528,0.1365539484538967
4,0.8412593007087708,0.23381845246661792,0.6074408482421528,0.1365539484538967
5,0.7442408800125122,0.13680003177035938,0.6074408482421528,0.1365539484538967
6,0.5783360004425049,-0.029104847799647948,0.6074408482421528,0.1365539484538967
7,0.5786207318305969,-0.028820116411555907,0.6074408482421528,0.1365539484538967
8,0.47230440378189087,-0.13513644446026196,0.6074408482421528,0.1365539484538967
9,0.41288048028945923,-0.1945603679526936,0.6074408482421528,0.1365539484538967
10,0.4891434609889984,-0.11829738725315442,0.6074408482421528,0.1365539484538967
11,0.4402010440826416,-0.16723980415951123,0.6074408482421528,0.1365539484538967
