Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.8284105062484741,0.30393825471401215,0.524472251534462,0.12499535160663205
2,0.607548713684082,0.08307646214962006,0.524472251534462,0.12499535160663205
3,0.4568806290626526,-0.06759162247180939,0.524472251534462,0.12499535160663205
4,0.5426239967346191,0.018151745200157166,0.524472251534462,0.12499535160663205
5,0.4123748540878296,-0.11209739744663239,0.524472251534462,0.12499535160663205
6,0.48964619636535645,-0.03482605516910553,0.524472251534462,0.12499535160663205
7,0.4211549162864685,-0.10331733524799347,0.524472251534462,0.12499535160663205
8,0.41022562980651855,-0.11424662172794342,0.524472251534462,0.12499535160663205
9,0.6163330078125,0.09186075627803802,0.524472251534462,0.12499535160663205
10,0.3578321933746338,-0.16664005815982819,0.524472251534462,0.12499535160663205
11,0.6883931159973145,0.16392086446285248,0.524472251534462,0.12499535160663205
12,0.5823022127151489,0.05782996118068695,0.524472251534462,0.12499535160663205
13,0.4230829179286957,-0.1013893336057663,0.524472251534462,0.12499535160663205
14,0.5058026313781738,-0.018669620156288147,0.524472251534462,0.12499535160663205
