ID,File,Story,Characters,Tokens,Segments,SGS Avg,SGS Dev,SGS Avg Run,SGS Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250710_110156.txt,Rumpelstiltskin,5795,1124,9,0.6687681525945663,0.037965241835370644,0.6308029107591957,0.04882163912546488
2,02_grimm_pg19068_rapunzel_tt_20250710_110157.txt,Rapunzel,7073,1393,12,0.6704730147665198,0.03967010400732407,0.6308029107591957,0.04882163912546488
3,03_grimm_pg19068_aschenputtel_tt_20250710_110157.txt,Aschenputtel,14053,2692,22,0.6587466696898142,0.027943758930618512,0.6308029107591957,0.04882163912546488
4,04_grimm_pg19068_little_red-cap_tt_20250710_110157.txt,Little Red-cap,7096,1332,12,0.6371928019957109,0.006389891236515233,0.6308029107591957,0.04882163912546488
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250710_110157.txt,The Sleeping Beauty,6839,1297,9,0.6604603677988052,0.029657457039609536,0.6308029107591957,0.04882163912546488
6,06_grimm_pg19068_hansel_and_grethel_tt_20250710_110157.txt,Hansel and Grethel,14806,2842,23,0.6394979953765869,0.008695084617391213,0.6308029107591957,0.04882163912546488
7,07_grimm_pg19068_snow-white_tt_20250710_110157.txt,Snow-white,15977,3043,23,0.6511860354380175,0.02038312467882175,0.6308029107591957,0.04882163912546488
8,08_grimm_pg19068_the_golden_goose_tt_20250710_110158.txt,The Golden Goose,8335,1623,12,0.6002686050805178,-0.030534305678677875,0.6308029107591957,0.04882163912546488
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250710_110158.txt,The Wolf and the Seven Kids,5383,1043,9,0.6111249923706055,-0.019677918388590232,0.6308029107591957,0.04882163912546488
10,10_grimm_pg19068_the_frog_prince_tt_20250710_110158.txt,The Frog Prince,7273,1412,11,0.6397685408592224,0.008965630100026711,0.6308029107591957,0.04882163912546488
11,11_grimm_gb1823_jorinda_and_jorindel_tt_20250710_110158.txt,Jorinda and Jorindel,5579,1053,10,0.5890418357319303,-0.04176107502726545,0.6308029107591957,0.04882163912546488
12,12_grimm_gb1826_the_nose_tt_20250710_110158.txt,The Nose,12619,2482,16,0.6477505783240001,0.01694766756480437,0.6308029107591957,0.04882163912546488
13,13_grimm_ia1853-1_the_little_brother_and_sister_tt_20250710_110158.txt,The Little Brother and Sister,12195,2366,11,0.7011577069759369,0.07035479621674123,0.6308029107591957,0.04882163912546488
14,14_grimm_ia1853-1_the_gold_children_tt_20250710_110158.txt,The Gold Children,9938,1923,16,0.6236395319302876,-0.007163378828908051,0.6308029107591957,0.04882163912546488
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_tt_20250710_110159.txt,"The Knapsack, the Hat, and the Horn",12280,2334,15,0.5409137436321804,-0.08988916712701533,0.6308029107591957,0.04882163912546488
16,16_grimm_gb1826_the_crows_and_the_soldier_tt_20250710_110159.txt,The Crows and the Soldier,6470,1274,7,0.598118523756663,-0.03268438700253273,0.6308029107591957,0.04882163912546488
17,17_grimm_gb1853-2_the_faithful_beasts_tt_20250710_110159.txt,The Faithful Beasts,7881,1515,7,0.6158656428257624,-0.014937267933433307,0.6308029107591957,0.04882163912546488
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_tt_20250710_110159.txt,The Sparrow and his Four Children,5144,964,9,0.6413886360824108,0.010585725323215112,0.6308029107591957,0.04882163912546488
19,19_grimm_gb1853-2_the_stolen_farthings_tt_20250710_110159.txt,The Stolen Farthings,1756,334,2,0.5014644265174866,-0.12933848424170913,0.6308029107591957,0.04882163912546488
20,20_grimm_gb1853-2_three_little_tales_about_toads_tt_20250710_110159.txt,Three Little Tales about Toads,2693,509,4,0.7192304134368896,0.08842750267769395,0.6308029107591957,0.04882163912546488
