Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.7379100322723389,0.07713464715264062,0.6607753851196982,0.06973153017663704
2,0.6497965455055237,-0.010978839614174563,0.6607753851196982,0.06973153017663704
3,0.7820050120353699,0.12122962691567163,0.6607753851196982,0.06973153017663704
4,0.7166434526443481,0.0558680675246499,0.6607753851196982,0.06973153017663704
5,0.7298598885536194,0.06908450343392114,0.6607753851196982,0.06973153017663704
6,0.5761383175849915,-0.08463706753470679,0.6607753851196982,0.06973153017663704
7,0.6593544483184814,-0.0014209368012167989,0.6607753851196982,0.06973153017663704
8,0.6153955459594727,-0.04537983916022559,0.6607753851196982,0.06973153017663704
9,0.5540199875831604,-0.10675539753653784,0.6607753851196982,0.06973153017663704
10,0.6506873369216919,-0.01008804819800635,0.6607753851196982,0.06973153017663704
11,0.5967186689376831,-0.06405671618201514,0.6607753851196982,0.06973153017663704
