Segment Pair,SGS,SGS Dev,SGS Avg,SGS Std
1,0.5974204540252686,0.010914256175359127,0.5865061978499094,0.07724787425715719
2,0.6818532943725586,0.09534709652264917,0.5865061978499094,0.07724787425715719
3,0.5760921239852905,-0.0104140738646189,0.5865061978499094,0.07724787425715719
4,0.4811500608921051,-0.10535613695780432,0.5865061978499094,0.07724787425715719
5,0.4723643660545349,-0.11414183179537452,0.5865061978499094,0.07724787425715719
6,0.6667762398719788,0.08027004202206933,0.5865061978499094,0.07724787425715719
7,0.5710105895996094,-0.015495608250300053,0.5865061978499094,0.07724787425715719
8,0.44877076148986816,-0.13773543636004126,0.5865061978499094,0.07724787425715719
9,0.5707286596298218,-0.01577753822008765,0.5865061978499094,0.07724787425715719
10,0.6533931493759155,0.0668869515260061,0.5865061978499094,0.07724787425715719
11,0.4961564540863037,-0.09034974376360572,0.5865061978499094,0.07724787425715719
12,0.6213226318359375,0.03481643398602807,0.5865061978499094,0.07724787425715719
13,0.6941453218460083,0.10763912399609887,0.5865061978499094,0.07724787425715719
14,0.646648108959198,0.06014191110928857,0.5865061978499094,0.07724787425715719
15,0.6197607517242432,0.03325455387433374,0.5865061978499094,0.07724787425715719
