Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.6741118308799767,0.11161975747651687,0.5624920734034599,0.06635875717300613
2,0.651480739534958,0.08898866613149814,0.5624920734034599,0.06635875717300613
3,0.5377573656956612,-0.02473470770779862,0.5624920734034599,0.06635875717300613
4,0.46552332081612,-0.09696875258733983,0.5624920734034599,0.06635875717300613
5,0.5080648560357551,-0.05442721736770473,0.5624920734034599,0.06635875717300613
6,0.5168208137025251,-0.045671259700934774,0.5624920734034599,0.06635875717300613
7,0.49332189228649787,-0.06917018111696199,0.5624920734034599,0.06635875717300613
8,0.5475561726236469,-0.014935900779812994,0.5624920734034599,0.06635875717300613
9,0.5606035368342728,-0.0018885365691870826,0.5624920734034599,0.06635875717300613
10,0.5826075043091069,0.020115430905647047,0.5624920734034599,0.06635875717300613
11,0.6495647747195377,0.0870727013160778,0.5624920734034599,0.06635875717300613
