Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.6360759461914924,0.02239690491134716,0.6136790412801453,0.046129416895896246
2,0.6113997485934495,-0.0022792926866957997,0.6136790412801453,0.046129416895896246
3,0.7513841548643692,0.13770511358422388,0.6136790412801453,0.046129416895896246
4,0.5943631295322217,-0.019315911747923575,0.6136790412801453,0.046129416895896246
5,0.5762876418419707,-0.0373913994381746,0.6136790412801453,0.046129416895896246
6,0.5688875295297846,-0.04479151175036067,0.6136790412801453,0.046129416895896246
7,0.5816512106669423,-0.03202783061320302,0.6136790412801453,0.046129416895896246
8,0.6188591862328039,0.005180144952658616,0.6136790412801453,0.046129416895896246
9,0.6080883143118335,-0.005590726968311754,0.6136790412801453,0.046129416895896246
10,0.5480714157567842,-0.06560762552336108,0.6136790412801453,0.046129416895896246
11,0.609521314166751,-0.004157727113394238,0.6136790412801453,0.046129416895896246
12,0.617112266634078,0.003433225353932756,0.6136790412801453,0.046129416895896246
13,0.6242782582078182,0.01059921692767296,0.6136790412801453,0.046129416895896246
14,0.6455264613917344,0.03184742011158914,0.6136790412801453,0.046129416895896246
