Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.6298406876154029,0.036553488849775606,0.5932871987656273,0.12951302405403586
2,0.6660879683660934,0.07280076960046611,0.5932871987656273,0.12951302405403586
3,0.7600846400541594,0.16679744128853213,0.5932871987656273,0.12951302405403586
4,0.7396080293960708,0.14632083063044354,0.5932871987656273,0.12951302405403586
5,0.6436406091135211,0.05035341034789376,0.5932871987656273,0.12951302405403586
6,0.39344903513559765,-0.19983816363002965,0.5932871987656273,0.12951302405403586
7,0.2610986642787577,-0.3321885344868696,0.5932871987656273,0.12951302405403586
8,0.6836661520157766,0.09037895325014933,0.5932871987656273,0.12951302405403586
9,0.6307532448462579,0.037466046080630644,0.5932871987656273,0.12951302405403586
10,0.6129471507766556,0.019659952011028325,0.5932871987656273,0.12951302405403586
11,0.6221123421314206,0.028825143365793338,0.5932871987656273,0.12951302405403586
12,0.4110397028885466,-0.18224749587708072,0.5932871987656273,0.12951302405403586
13,0.650153832544188,0.056866633778560716,0.5932871987656273,0.12951302405403586
14,0.7170810853861452,0.12379388662051793,0.5932871987656273,0.12951302405403586
15,0.631429972451179,0.038142773685551745,0.5932871987656273,0.12951302405403586
16,0.5713292754360099,-0.021957923329617435,0.5932871987656273,0.12951302405403586
17,0.3483857794610354,-0.24490141930459192,0.5932871987656273,0.12951302405403586
18,0.5127348611474698,-0.0805523376181575,0.5932871987656273,0.12951302405403586
19,0.6506624081445392,0.05737520937891194,0.5932871987656273,0.12951302405403586
20,0.6632395883886287,0.06995238962300143,0.5932871987656273,0.12951302405403586
21,0.6596861445007173,0.06639894573508998,0.5932871987656273,0.12951302405403586
