Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.6805478312361084,0.06678695971842141,0.613760871517687,0.04642492911957753
2,0.6742199145330944,0.06045904301540739,0.613760871517687,0.04642492911957753
3,0.6358804523732688,0.022119580855581855,0.613760871517687,0.04642492911957753
4,0.5467953290172247,-0.06696554250046227,0.613760871517687,0.04642492911957753
5,0.6873876771415964,0.07362680562390944,0.613760871517687,0.04642492911957753
6,0.6265873793956516,0.012826507877964577,0.613760871517687,0.04642492911957753
7,0.6453071275398216,0.03154625602213457,0.613760871517687,0.04642492911957753
8,0.5966184659223686,-0.017142405595318433,0.613760871517687,0.04642492911957753
9,0.5881047281933127,-0.02565614332437427,0.613760871517687,0.04642492911957753
10,0.5554236491408283,-0.05833722237685868,0.613760871517687,0.04642492911957753
11,0.5713304213327638,-0.042430450184923196,0.613760871517687,0.04642492911957753
12,0.568346744186476,-0.045414127331210974,0.613760871517687,0.04642492911957753
13,0.6023416097174162,-0.011419261800270752,0.613760871517687,0.04642492911957753
