Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.6797691241369579,0.07647928206841781,0.6032898420685401,0.028572341832503012
2,0.6022347090409186,-0.001055133027621502,0.6032898420685401,0.028572341832503012
3,0.6100810181876257,0.00679117611908564,0.6032898420685401,0.028572341832503012
4,0.6205430294509284,0.017253187382388346,0.6032898420685401,0.028572341832503012
5,0.6072982324906804,0.0040083904221402955,0.6032898420685401,0.028572341832503012
6,0.6209497321168594,0.01765989004831936,0.6032898420685401,0.028572341832503012
7,0.5805537539638678,-0.022736088104672314,0.6032898420685401,0.028572341832503012
8,0.5662669231272683,-0.03702291894127174,0.6032898420685401,0.028572341832503012
9,0.5788465707508779,-0.02444327131766222,0.6032898420685401,0.028572341832503012
10,0.5764156534085003,-0.026874188660039766,0.6032898420685401,0.028572341832503012
11,0.6011486604086524,-0.0021411816598876365,0.6032898420685401,0.028572341832503012
12,0.5953706977393431,-0.007919144329196937,0.6032898420685401,0.028572341832503012
