Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.773238234371312,-0.028547829346131426,0.8017860637174434,0.06584540842589366
2,0.8141987355211753,0.012412671803731845,0.8017860637174434,0.06584540842589366
3,0.7943406572316243,-0.00744540648581915,0.8017860637174434,0.06584540842589366
4,0.6776212347704063,-0.12416482894703718,0.8017860637174434,0.06584540842589366
5,0.8196384550803207,0.017852391362877307,0.8017860637174434,0.06584540842589366
6,0.8011991499674077,-0.0005869137500357224,0.8017860637174434,0.06584540842589366
7,0.7031920269523007,-0.09859403676514278,0.8017860637174434,0.06584540842589366
8,0.7849596265645463,-0.01682643715289711,0.8017860637174434,0.06584540842589366
9,0.9114044300921013,0.10961836637465783,0.8017860637174434,0.06584540842589366
10,0.8881167043215666,0.08633064060412321,0.8017860637174434,0.06584540842589366
11,0.8411982441616008,0.039412180444157396,0.8017860637174434,0.06584540842589366
12,0.8817958250863089,0.0800097613688655,0.8017860637174434,0.06584540842589366
13,0.8123120542216523,0.010525990504208882,0.8017860637174434,0.06584540842589366
14,0.7217895137018832,-0.07999655001556027,0.8017860637174434,0.06584540842589366
