Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.7289252589083427,0.12745938321265993,0.6014658756956828,0.05391508919345045
2,0.6486494167207937,0.04718354102511091,0.6014658756956828,0.05391508919345045
3,0.5437548989238318,-0.057710976771851,0.6014658756956828,0.05391508919345045
4,0.6080781345092857,0.006612258813602945,0.6014658756956828,0.05391508919345045
5,0.6353466318496146,0.033880756153931824,0.6014658756956828,0.05391508919345045
6,0.5731384678174383,-0.028327407878244504,0.6014658756956828,0.05391508919345045
7,0.5412027035846292,-0.06026317211105359,0.6014658756956828,0.05391508919345045
8,0.6216223681102987,0.020156492414615923,0.6014658756956828,0.05391508919345045
9,0.55000595304183,-0.051459922653852797,0.6014658756956828,0.05391508919345045
10,0.5628502868648071,-0.03861558883087568,0.6014658756956828,0.05391508919345045
11,0.6025505123216381,0.0010846366259553708,0.6014658756956828,0.05391508919345045
