Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.6958441068019763,0.01864376199507478,0.6772003448069015,0.07948192888880676
2,0.8825836053930255,0.205383260586124,0.6772003448069015,0.07948192888880676
3,0.7051326111137413,0.02793226630683976,0.6772003448069015,0.07948192888880676
4,0.6477893951012687,-0.02941094970563285,0.6772003448069015,0.07948192888880676
5,0.6252329428490274,-0.05196740195787408,0.6772003448069015,0.07948192888880676
6,0.586494556050725,-0.09070578875617652,0.6772003448069015,0.07948192888880676
7,0.6411859064662554,-0.036014438340646104,0.6772003448069015,0.07948192888880676
8,0.5989506807338412,-0.07824966407306033,0.6772003448069015,0.07948192888880676
9,0.6998345088806446,0.02263416407374308,0.6772003448069015,0.07948192888880676
10,0.6889551346785098,0.011754789871608273,0.6772003448069015,0.07948192888880676
