Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.7189331907110953,0.13845327725242218,0.5804799134586731,0.06910729275292624
2,0.6219431603957897,0.04146324693711656,0.5804799134586731,0.06910729275292624
3,0.5331503232143161,-0.04732959024435701,0.5804799134586731,0.06910729275292624
4,0.6607103258432686,0.0802304123845955,0.5804799134586731,0.06910729275292624
5,0.542991564404502,-0.03748834905417109,0.5804799134586731,0.06910729275292624
6,0.5561223623533468,-0.024357551105326336,0.5804799134586731,0.06910729275292624
7,0.5387666231317632,-0.04171329032690996,0.5804799134586731,0.06910729275292624
8,0.7134458266663806,0.13296591320770745,0.5804799134586731,0.06910729275292624
9,0.5949947210049498,0.014514807546276653,0.5804799134586731,0.06910729275292624
10,0.437004653525738,-0.14347525993293514,0.5804799134586731,0.06910729275292624
11,0.535894702676822,-0.04458521078185107,0.5804799134586731,0.06910729275292624
12,0.5646645194096606,-0.015815394049012554,0.5804799134586731,0.06910729275292624
13,0.5394888148360538,-0.04099109862261929,0.5804799134586731,0.06910729275292624
14,0.5586844888147603,-0.02179542464391282,0.5804799134586731,0.06910729275292624
15,0.6171230515547468,0.03664313809607367,0.5804799134586731,0.06910729275292624
16,0.5126816513030134,-0.06779826215565976,0.5804799134586731,0.06910729275292624
17,0.5485851451551346,-0.031894768303538545,0.5804799134586731,0.06910729275292624
18,0.6750797188953229,0.09459980543664981,0.5804799134586731,0.06910729275292624
19,0.6645659684586207,0.08408605499994759,0.5804799134586731,0.06910729275292624
20,0.5326808964298464,-0.04779901702882672,0.5804799134586731,0.06910729275292624
21,0.5828029733265406,0.0023230598678675163,0.5804799134586731,0.06910729275292624
22,0.520243413979136,-0.06023649947953713,0.5804799134586731,0.06910729275292624
