Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.544973239738795,-0.05297203803512407,0.597945277773919,0.11563105839007987
2,0.7399203200704795,0.14197504229656044,0.597945277773919,0.11563105839007987
3,0.6075128487051076,0.00956757093118854,0.597945277773919,0.11563105839007987
4,0.48726908069677066,-0.11067619707714837,0.597945277773919,0.11563105839007987
5,0.7537416503209572,0.15579637254703815,0.597945277773919,0.11563105839007987
6,0.4542545271114043,-0.14369075066251474,0.597945277773919,0.11563105839007987
