Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.7646473854306661,0.02447574892478943,0.7401716365058767,0.04762703929972212
2,0.768189666921803,0.02801803041592632,0.7401716365058767,0.04762703929972212
3,0.7555847275079098,0.015413091002033141,0.7401716365058767,0.04762703929972212
4,0.797582268158531,0.057410631652654254,0.7401716365058767,0.04762703929972212
5,0.7609611949419889,0.020789558436112188,0.7401716365058767,0.04762703929972212
6,0.6658539230742025,-0.07431771343167415,0.7401716365058767,0.04762703929972212
7,0.7476897565232233,0.007518120017346641,0.7401716365058767,0.04762703929972212
8,0.6950299989562176,-0.04514163754965905,0.7401716365058767,0.04762703929972212
9,0.7436735451965074,0.0035019086906307173,0.7401716365058767,0.04762703929972212
10,0.6462952567084543,-0.09387637979742236,0.7401716365058767,0.04762703929972212
11,0.7963802781451375,0.05620864163926076,0.7401716365058767,0.04762703929972212
