Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.9428083970612369,0.3057200946902967,0.6370883023709402,0.15246667381971227
2,0.7339852415663701,0.09689693919542997,0.6370883023709402,0.15246667381971227
3,0.6156865335386326,-0.0214017688323076,0.6370883023709402,0.15246667381971227
4,0.8119890838724287,0.17490078150148858,0.6370883023709402,0.15246667381971227
5,0.7169758158799441,0.07988751350900392,0.6370883023709402,0.15246667381971227
6,0.7788163342993052,0.14172803192836503,0.6370883023709402,0.15246667381971227
7,0.6208749206957319,-0.01621338167520825,0.6370883023709402,0.15246667381971227
8,0.4579398752521051,-0.17914842711883505,0.6370883023709402,0.15246667381971227
9,0.5225290990978205,-0.11455920327311964,0.6370883023709402,0.15246667381971227
10,0.47112674693743617,-0.165961555433504,0.6370883023709402,0.15246667381971227
11,0.4852752399850073,-0.15181306238593284,0.6370883023709402,0.15246667381971227
12,0.48705234026526334,-0.15003596210567682,0.6370883023709402,0.15246667381971227
