Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.7771989801242312,0.23112256328752878,0.5460764168367024,0.14800532779369188
2,0.8863010314931887,0.34022461465648635,0.5460764168367024,0.14800532779369188
3,0.8376115396976591,0.29153512286095673,0.5460764168367024,0.14800532779369188
4,0.6349621650468495,0.08888574821014716,0.5460764168367024,0.14800532779369188
5,0.6429014479534121,0.0968250311167097,0.5460764168367024,0.14800532779369188
6,0.6353293343422295,0.08925291750552711,0.5460764168367024,0.14800532779369188
7,0.525890315335974,-0.020186101500728415,0.5460764168367024,0.14800532779369188
8,0.5059616105800154,-0.04011480625668695,0.5460764168367024,0.14800532779369188
9,0.2713626680633196,-0.2747137487733828,0.5460764168367024,0.14800532779369188
10,0.27005011695240966,-0.2760262998842927,0.5460764168367024,0.14800532779369188
11,0.6502706009719608,0.10419418413525838,0.5460764168367024,0.14800532779369188
12,0.5363847774442375,-0.009691639392464868,0.5460764168367024,0.14800532779369188
13,0.6168805365510021,0.07080411971429967,0.5460764168367024,0.14800532779369188
14,0.5060961909664741,-0.039980225870228314,0.5460764168367024,0.14800532779369188
15,0.4548430884593314,-0.09123332837737097,0.5460764168367024,0.14800532779369188
16,0.513008314726668,-0.033068102110034414,0.5460764168367024,0.14800532779369188
17,0.3691330297148638,-0.1769433871218386,0.5460764168367024,0.14800532779369188
18,0.41929804576846263,-0.12677837106823975,0.5460764168367024,0.14800532779369188
19,0.6354355996601381,0.08935918282343569,0.5460764168367024,0.14800532779369188
20,0.5915471711834631,0.04547075434676073,0.5460764168367024,0.14800532779369188
21,0.4721574746713961,-0.07391894216530626,0.5460764168367024,0.14800532779369188
22,0.4180560133074802,-0.12802040352922217,0.5460764168367024,0.14800532779369188
23,0.4529457161682197,-0.09313070066848267,0.5460764168367024,0.14800532779369188
24,0.4923273092051618,-0.05374910763154056,0.5460764168367024,0.14800532779369188
25,0.44461913631564176,-0.10145728052106062,0.5460764168367024,0.14800532779369188
26,0.6374146230504717,0.09133820621376931,0.5460764168367024,0.14800532779369188
