Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.519870965756401,-0.09314219008455193,0.613013155840953,0.11841241621234569
2,0.7457566466928611,0.13274349085190817,0.613013155840953,0.11841241621234569
3,0.7209630703242678,0.10794991448331481,0.613013155840953,0.11841241621234569
4,0.8120494533318341,0.19903629749088114,0.613013155840953,0.11841241621234569
5,0.669496568345374,0.056483412504421016,0.613013155840953,0.11841241621234569
6,0.5805915828973239,-0.03242157294362902,0.613013155840953,0.11841241621234569
7,0.691343958210276,0.0783308023693231,0.613013155840953,0.11841241621234569
8,0.397112286041092,-0.21590086979986095,0.613013155840953,0.11841241621234569
9,0.5165370646838603,-0.09647609115709266,0.613013155840953,0.11841241621234569
10,0.5675510298689873,-0.04546212597196564,0.613013155840953,0.11841241621234569
11,0.5218720880982054,-0.09114106774274755,0.613013155840953,0.11841241621234569
