Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.6634830335083505,0.07199293893403069,0.5914900945743198,0.13967725372845502
2,0.8034840481888377,0.2119939536145179,0.5914900945743198,0.13967725372845502
3,0.8850162797225859,0.2935261851482661,0.5914900945743198,0.13967725372845502
4,0.6866291376248376,0.09513904305051779,0.5914900945743198,0.13967725372845502
5,0.7039758585543332,0.11248576398001342,0.5914900945743198,0.13967725372845502
6,0.5649443802399184,-0.026545714334401338,0.5914900945743198,0.13967725372845502
7,0.5104458561113541,-0.08104423846296571,0.5914900945743198,0.13967725372845502
8,0.5136308073463887,-0.07785928722793112,0.5914900945743198,0.13967725372845502
9,0.6821400924785255,0.09064999790420569,0.5914900945743198,0.13967725372845502
10,0.592558094820604,0.0010680002462841731,0.5914900945743198,0.13967725372845502
11,0.4325098945795288,-0.15898019999479096,0.5914900945743198,0.13967725372845502
12,0.5569901641315711,-0.03449993044274868,0.5914900945743198,0.13967725372845502
13,0.45417326214427284,-0.13731683243004694,0.5914900945743198,0.13967725372845502
14,0.44837056978955764,-0.14311952478476214,0.5914900945743198,0.13967725372845502
15,0.3739999393741289,-0.21749015520019088,0.5914900945743198,0.13967725372845502
