Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.9074686053067763,0.1821453605385428,0.7253232447682335,0.08095237108112488
2,0.6137490854131623,-0.1115741593550712,0.7253232447682335,0.08095237108112488
3,0.6849279111450562,-0.040395333623177265,0.7253232447682335,0.08095237108112488
4,0.5980306235673287,-0.1272926212009048,0.7253232447682335,0.08095237108112488
5,0.7957830263559292,0.07045978158769572,0.7253232447682335,0.08095237108112488
6,0.7795704918729474,0.05424724710471385,0.7253232447682335,0.08095237108112488
7,0.6974785479435308,-0.027844696824702697,0.7253232447682335,0.08095237108112488
8,0.7717957374504926,0.04647249268225906,0.7253232447682335,0.08095237108112488
9,0.7322494186474062,0.0069261738791727145,0.7253232447682335,0.08095237108112488
10,0.6773711860342633,-0.04795205873397024,0.7253232447682335,0.08095237108112488
11,0.6639978578927234,-0.061325386875510146,0.7253232447682335,0.08095237108112488
12,0.6849373200162459,-0.040385924751987656,0.7253232447682335,0.08095237108112488
13,0.8479100586120873,0.12258681384385384,0.7253232447682335,0.08095237108112488
14,0.6912000114025788,-0.034123233365654704,0.7253232447682335,0.08095237108112488
15,0.7333787898629732,0.008055545094739713,0.7253232447682335,0.08095237108112488
