Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.8125163891879633,0.1927229526116686,0.6197934365762947,0.1376685521794615
2,0.6660215154816111,0.04622807890531644,0.6197934365762947,0.1376685521794615
3,0.7543277562418508,0.13453431966555607,0.6197934365762947,0.1376685521794615
4,0.46629312807851503,-0.15350030849777968,0.6197934365762947,0.1376685521794615
5,0.5773087421182872,-0.04248469445800751,0.6197934365762947,0.1376685521794615
6,0.5434772932833309,-0.07631614329296377,0.6197934365762947,0.1376685521794615
7,0.684215650471091,0.0644222138947963,0.6197934365762947,0.1376685521794615
8,0.4117554558148394,-0.2080379807614553,0.6197934365762947,0.1376685521794615
9,0.6998111965592729,0.08001775998297822,0.6197934365762947,0.1376685521794615
10,0.6388272467134967,0.019033810137201956,0.6197934365762947,0.1376685521794615
11,0.8213048490254671,0.20151141244917237,0.6197934365762947,0.1376685521794615
12,0.5491945694247884,-0.07059886715150632,0.6197934365762947,0.1376685521794615
13,0.793158746986067,0.17336531040977232,0.6197934365762947,0.1376685521794615
14,0.4199281966771263,-0.19986523989916843,0.6197934365762947,0.1376685521794615
15,0.4587608125807124,-0.16103262399558232,0.6197934365762947,0.1376685521794615
