Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.8125163891879633,0.10631471966720618,0.7062016695207571,0.09929028683054258
2,0.5517655712168553,-0.15443609830390181,0.7062016695207571,0.09929028683054258
3,0.6598843336072646,-0.04631733591349252,0.7062016695207571,0.09929028683054258
4,0.6070750577726445,-0.09912661174811266,0.7062016695207571,0.09929028683054258
5,0.540588217107539,-0.16561345241321812,0.7062016695207571,0.09929028683054258
6,0.7811522768872441,0.07495060736648695,0.7062016695207571,0.09929028683054258
7,0.7131656437593225,0.006963974238565318,0.7062016695207571,0.09929028683054258
8,0.8552464212873117,0.14904475176655452,0.7062016695207571,0.09929028683054258
9,0.5861271146813823,-0.12007455483937479,0.7062016695207571,0.09929028683054258
10,0.726985825793319,0.020784156272561916,0.7062016695207571,0.09929028683054258
11,0.8001324510368225,0.09393078151606538,0.7062016695207571,0.09929028683054258
12,0.844283767306725,0.13808209778596792,0.7062016695207571,0.09929028683054258
13,0.6629860941218176,-0.0432155753989395,0.7062016695207571,0.09929028683054258
14,0.7322291186275546,0.02602744910679744,0.7062016695207571,0.09929028683054258
15,0.718886760417592,0.012685090896834894,0.7062016695207571,0.09929028683054258
