Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.759386915018918,-0.04596381097646174,0.8053507259953797,0.05387270964844031
2,0.816096577869753,0.010745851874373269,0.8053507259953797,0.05387270964844031
3,0.8852730652833325,0.07992233928795278,0.8053507259953797,0.05387270964844031
4,0.8444783002793791,0.03912757428399938,0.8053507259953797,0.05387270964844031
5,0.7926840213164195,-0.01266670467896025,0.8053507259953797,0.05387270964844031
6,0.7452579106994003,-0.06009281529597943,0.8053507259953797,0.05387270964844031
7,0.7097313561895969,-0.09561936980578278,0.8053507259953797,0.05387270964844031
8,0.8403510744690543,0.035000348473674614,0.8053507259953797,0.05387270964844031
9,0.9149579018885937,0.109607175893214,0.8053507259953797,0.05387270964844031
10,0.8199675021634358,0.014616776168056123,0.8053507259953797,0.05387270964844031
11,0.7814775958398381,-0.0238731301555416,0.8053507259953797,0.05387270964844031
12,0.7786865220207038,-0.02666420397467595,0.8053507259953797,0.05387270964844031
13,0.757603468149626,-0.04774725784575373,0.8053507259953797,0.05387270964844031
14,0.8289579527472646,0.02360722675188487,0.8053507259953797,0.05387270964844031
