Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.9549730867244858,0.2773715755511651,0.6776015111733207,0.17867631937424258
2,0.8421811663360452,0.16457965516272455,0.6776015111733207,0.17867631937424258
3,0.9103871412481949,0.23278563007487418,0.6776015111733207,0.17867631937424258
4,0.5017422448091051,-0.17585926636421556,0.6776015111733207,0.17867631937424258
5,0.5650636394090314,-0.11253787176428931,0.6776015111733207,0.17867631937424258
6,0.826808829160182,0.14920731798686127,0.6776015111733207,0.17867631937424258
7,0.6168040345920032,-0.06079747658131751,0.6776015111733207,0.17867631937424258
8,0.6211975308250227,-0.056403980348297966,0.6776015111733207,0.17867631937424258
9,0.4483870887583362,-0.22921442241498446,0.6776015111733207,0.17867631937424258
10,0.4884703498708,-0.18913116130252067,0.6776015111733207,0.17867631937424258
