Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.7229649711576156,-0.006967642594899903,0.7299326137525155,0.0848513262788215
2,0.612454104576756,-0.11747850917575953,0.7299326137525155,0.0848513262788215
3,0.8812041716392438,0.1512715578867283,0.7299326137525155,0.0848513262788215
4,0.6808991050016762,-0.04903350875083934,0.7299326137525155,0.0848513262788215
5,0.8158947353968488,0.08596212164433326,0.7299326137525155,0.0848513262788215
6,0.7880653470824278,0.05813273332991231,0.7299326137525155,0.0848513262788215
7,0.7197614386394616,-0.010171175113053876,0.7299326137525155,0.0848513262788215
8,0.8514149790506812,0.1214823652981657,0.7299326137525155,0.0848513262788215
9,0.7149546134282802,-0.014978000324235352,0.7299326137525155,0.0848513262788215
10,0.8814101282858335,0.15147751453331804,0.7299326137525155,0.0848513262788215
11,0.6906591803407242,-0.03927343341179135,0.7299326137525155,0.0848513262788215
12,0.653042499078657,-0.07689011467385853,0.7299326137525155,0.0848513262788215
13,0.6673980165337535,-0.06253459721876198,0.7299326137525155,0.0848513262788215
14,0.6830141475260257,-0.04691846622648976,0.7299326137525155,0.0848513262788215
15,0.6171939642828116,-0.11273864946970391,0.7299326137525155,0.0848513262788215
16,0.6985904180194512,-0.03134219573306429,0.7299326137525155,0.0848513262788215
