Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.7542874191921034,0.018419510260305638,0.7358679089317978,0.09202197174576117
2,0.9515786945072704,0.21571078557547263,0.7358679089317978,0.09202197174576117
3,0.7142873681360943,-0.021580540795703484,0.7358679089317978,0.09202197174576117
4,0.6665684206824808,-0.06929948824931698,0.7358679089317978,0.09202197174576117
5,0.7081289045473955,-0.027739004384402244,0.7358679089317978,0.09202197174576117
6,0.7493863947689544,0.013518485837156646,0.7358679089317978,0.09202197174576117
7,0.6251158580983086,-0.11075205083348916,0.7358679089317978,0.09202197174576117
8,0.7717791550794498,0.035911246147652065,0.7358679089317978,0.09202197174576117
9,0.645670301506664,-0.09019760742513372,0.7358679089317978,0.09202197174576117
10,0.6597495564848782,-0.07611835244691956,0.7358679089317978,0.09202197174576117
11,0.8479949252461755,0.11212701631437771,0.7358679089317978,0.09202197174576117
