Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.6301034677477111,-0.09907383426395266,0.7291773020116638,0.14446949234363948
2,0.9092917302626718,0.1801144282510081,0.7291773020116638,0.14446949234363948
3,0.8737832722825409,0.14460597027087718,0.7291773020116638,0.14446949234363948
4,0.4325190604800051,-0.29665824153165865,0.7291773020116638,0.14446949234363948
5,0.9535442981182788,0.22436699610661504,0.7291773020116638,0.14446949234363948
6,0.7732539186045568,0.04407661659289308,0.7291773020116638,0.14446949234363948
7,0.7956374255345782,0.06646012352291442,0.7291773020116638,0.14446949234363948
8,0.6494899273059245,-0.07968737470573928,0.7291773020116638,0.14446949234363948
9,0.6661874295762736,-0.06298987243539012,0.7291773020116638,0.14446949234363948
10,0.7135553575547532,-0.015621944456910564,0.7291773020116638,0.14446949234363948
11,0.623584434661007,-0.10559286735065676,0.7291773020116638,0.14446949234363948
