Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.6914242713171259,0.06182378139629807,0.6296004899208278,0.08271698645494828
2,0.6578634350213814,0.028262945100553605,0.6296004899208278,0.08271698645494828
3,0.7435099724568883,0.11390948253606048,0.6296004899208278,0.08271698645494828
4,0.7023341070602072,0.07273361713937931,0.6296004899208278,0.08271698645494828
5,0.7397819586415064,0.11018146872067858,0.6296004899208278,0.08271698645494828
6,0.6422820390285745,0.012681549107746659,0.6296004899208278,0.08271698645494828
7,0.6960069464531224,0.0664064565322946,0.6296004899208278,0.08271698645494828
8,0.6128300697588672,-0.01677042016196062,0.6296004899208278,0.08271698645494828
9,0.5885451676299868,-0.04105532229084108,0.6296004899208278,0.08271698645494828
10,0.4993545996353724,-0.13024589028545547,0.6296004899208278,0.08271698645494828
11,0.5407699329649818,-0.08883055695584607,0.6296004899208278,0.08271698645494828
12,0.48683536782359577,-0.14276512209723208,0.6296004899208278,0.08271698645494828
13,0.5832685011791515,-0.04633198874167632,0.6296004899208278,0.08271698645494828
