Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.9549730867244858,0.16106545705380193,0.7939076296706838,0.11227140669918582
2,0.9312972395402566,0.13738960986957272,0.7939076296706838,0.11227140669918582
3,0.7692405143726461,-0.02466711529803778,0.7939076296706838,0.11227140669918582
4,0.6565269308126415,-0.13738069885804238,0.7939076296706838,0.11227140669918582
5,0.6120592048961118,-0.18184842477457208,0.7939076296706838,0.11227140669918582
6,0.7821470830772358,-0.011760546593448051,0.7939076296706838,0.11227140669918582
7,0.7054466403317511,-0.08846098933893276,0.7939076296706838,0.11227140669918582
8,0.9217169563862039,0.12780932671552003,0.7939076296706838,0.11227140669918582
9,0.8487781772180996,0.054870547547415716,0.7939076296706838,0.11227140669918582
10,0.7568904633474067,-0.03701716632327712,0.7939076296706838,0.11227140669918582
