Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.7684951685423584,0.07712826111289328,0.6913669074294652,0.14679955432182176
2,0.5244874377540029,-0.1668794696754623,0.6913669074294652,0.14679955432182176
3,0.9198682838203495,0.2285013763908843,0.6913669074294652,0.14679955432182176
4,0.6260795917580753,-0.0652873156713899,0.6913669074294652,0.14679955432182176
5,0.9625072296121981,0.271140322182733,0.6913669074294652,0.14679955432182176
6,0.6894587625150719,-0.0019081449143932838,0.6913669074294652,0.14679955432182176
7,0.5755016055916825,-0.11586530183778265,0.6913669074294652,0.14679955432182176
8,0.7033745487118284,0.012007641282363202,0.6913669074294652,0.14679955432182176
9,0.6412913607064175,-0.050075546723047704,0.6913669074294652,0.14679955432182176
10,0.5026050852826672,-0.18876182214679793,0.6913669074294652,0.14679955432182176
