Segment Pair,KLD,KLD Dev,KLD Avg,KLD Std
1,0.7382002581331116,0.06634714220413718,0.6718531159289745,0.12607738293526521
2,0.6727923504820967,0.0009392345531222812,0.6718531159289745,0.12607738293526521
3,0.8581005088753123,0.18624739294633785,0.6718531159289745,0.12607738293526521
4,0.6935997249701689,0.02174660904119441,0.6718531159289745,0.12607738293526521
5,0.6794457493005168,0.007592633371542368,0.6718531159289745,0.12607738293526521
6,0.7229782616650114,0.05112514573603699,0.6718531159289745,0.12607738293526521
7,0.8246149689596627,0.15276185303068823,0.6718531159289745,0.12607738293526521
8,0.730604820687316,0.05875170475834157,0.6718531159289745,0.12607738293526521
9,0.4938916931335087,-0.17796142279546573,0.6718531159289745,0.12607738293526521
10,0.6156749312056091,-0.05617818472336533,0.6718531159289745,0.12607738293526521
11,0.445201804535491,-0.22665131139348343,0.6718531159289745,0.12607738293526521
12,0.5820719059595504,-0.08978120996942407,0.6718531159289745,0.12607738293526521
13,0.8464927948194256,0.17463967889045118,0.6718531159289745,0.12607738293526521
14,0.5022738502788605,-0.16957926565011394,0.6718531159289745,0.12607738293526521
